pobx,poby,px,py,ang,angr,num
3.280709,4.436548,3.811103,6.429230,19.729065,-124.633728,20
3.572144,3.704138,3.569896,5.834951,12.944183,-102.883514,21
3.423594,2.961285,3.451403,5.106025,5.069131,-95.811783,22
3.377656,1.851357,3.396483,4.168234,-0.128639,-90.336731,23
3.217843,0.654799,3.379662,3.031777,-2.650633,-91.243713,24
3.423594,2.961285,3.379662,3.031777,0.000000,-89.849686,21
3.377656,1.851357,3.379662,3.031777,0.000000,-89.849686,22
3.377656,1.851357,3.379770,2.990753,0.000000,-90.105682,22
3.377656,1.851357,3.379770,2.990753,0.000000,-90.105682,22
3.377656,1.851357,3.379770,2.990753,0.000000,-90.105682,22
3.377656,1.851357,3.379770,2.990753,0.000000,-90.105682,22
3.377656,1.851357,3.379770,2.990753,0.000000,-90.105682,22
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
3.423594,2.961285,3.379770,2.990753,0.000000,-90.105682,21
2.312542,0.386567,3.379279,2.725185,-13.255345,-101.264015,25
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.379279,2.725185,0.000000,-101.264015,21
3.423594,2.961285,3.348585,2.571075,0.000000,-101.264015,21
2.905104,-0.095630,3.348585,2.571075,-11.283768,-88.158043,26
3.423594,2.961285,3.348585,2.571075,0.000000,-88.158043,21
3.423594,2.961285,3.348585,2.571075,0.000000,-88.158043,21
3.423594,2.961285,3.348585,2.571075,0.000000,-88.158043,21
3.423594,2.961285,3.348585,2.571075,0.000000,-88.158043,21
3.423594,2.961285,3.348585,2.571075,0.000000,-88.158043,21
3.423594,2.961285,3.349134,2.554001,0.000000,-87.035606,21
