sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.000658 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.000658 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.331831 -0.024216, R -0.260325 0.000434, YSP 5.188590 8.547962
sp -0.376747 -0.032126, R -0.300476 -0.005760, YSP 7.353382 9.987685
sp -0.376747 -0.032126, R -0.300476 -0.005760, YSP 7.353382 9.987685
sp -0.376747 -0.032126, R -0.300476 -0.005760, YSP 7.353382 9.987685
sp -0.376747 -0.032126, R -0.300476 -0.005760, YSP 7.353382 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.353382 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.691033 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.691033 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.691033 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.691033 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.691033 9.987685
sp -0.376747 -0.032126, R -0.309594 -0.006937, YSP 7.691033 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
sp -0.376747 -0.032126, R -0.304299 -0.003253, YSP 7.719714 9.987685
